country2,n,share
AU,213,0.030021141649048625
CA,433,0.061028893587033124
DE,74,0.010429880197322057
FR,92,0.012966878083157152
GB,1001,0.14108527131782947
Other,922,0.1299506694855532
US,4360,0.6145172656800564
