method,estimate,se,df,p_value
conventional CR1 (12 clusters),0.6887029073107188,0.11507609046198959,NA,9.123775091191635e-5
CR2 + Satterthwaite dof,0.6887029073107188,0.12184304241411192,6.4,0.001064724704163024
wild cluster bootstrap (B=1999),0.6887029073107188,NA,NA,0.002
placebo-month permutation,0.6887029073107188,NA,NA,0.08333333333333333
