goal_bucket,n,success_rate
<$500,5605,0.9479036574487065
$500-1k,4002,0.9035482258870565
$1-2k,4201,0.8621756724589383
$2-5k,6036,0.7925778661365143
$5-10k,5981,0.7099147299782645
$10-25k,7191,0.6601307189542484
$25-100k,3404,0.6031139835487661
$100k+,378,0.6296296296296297
