band,projects,med_tiers,med_top_price,med_moneymax,med_top_tier_share,sh_100_500,sh_under25
<$50k,292,8,250,50,0.05690816485655292,0.1967491533447607,0.14883514842715745
$50-100k,155,8,300,65,0.039597783785615626,0.3063995071818025,0.08796786078771233
$100-250k,156,9.5,384.03999999999996,85.15,0.040267837883844845,0.4180703653228303,0.043116018614560374
$250k+,96,8,397,127,0.040590079106158,0.6257348743021438,0.011989745642874895
