outcome,poly,rd,se_rb,p_rb,ci_lo,ci_hi,bw,n_left,n_right,mccrary_p
relaunch (any later project),1,-0.2828747186044961,0.07999646895690636,4.664307119543745e-4,-0.4367241600494073,-0.1231437639575815,0.2772420620011964,444,2872,4.0629299083554715e-86
relaunch (any later project),2,-0.10375674926944023,0.12433894497262558,0.4863282777079192,-0.3302597248405038,0.15713998320360364,0.2626338955509668,412,2759,4.0629299083554715e-86
next project funded | relaunched,1,-0.05536244285996261,0.06872147575431055,0.6227501488794605,-0.16849958892470343,0.10088364596107893,0.38758108238216116,465,1438,4.0629299083554715e-86
