class,term,coef,se
ttrpg (book),log10_goal,0.6909384795496731,0.01811639720694025
ttrpg (book),duration_days,0.004734697838050087,0.0010529461595423417
ttrpg (book),has_video,0.03612704891809023,0.02696252596844463
ttrpg (book),staff_pick,0.40166938069867336,0.02281107242722071
ttrpg (book),country_us,-0.08011469557588309,0.02118423432604246
ttrpg (book),creator_prior_funded,0.005491100370600696,0.002795388718711045
ttrpg (book),creator_is_repeat,0.13824129764498305,0.01576211555383443
ttrpg (book),is_dnd5e,0.07824847420696664,0.019665299795793505
ttrpg (book),blurb_words,0.0030546914313771788,0.0013843783856528585
ttrpg (book),title_words,0.003123843101363025,0.002741919766677602
ttrpg (book),is_osr,0.05022809884245105,0.026259440420207402
ttrpg (book),is_zine,-0.11792839639356524,0.024131919801541127
ttrpg (book),is_pbta,-0.0150795952234958,0.04195731163046307
ttrpg_accessory,log10_goal,0.5952375956592696,0.02279855647550969
ttrpg_accessory,duration_days,0.011265313390694434,0.0019496164953594609
ttrpg_accessory,has_video,0.07465787165731631,0.04216802016032629
ttrpg_accessory,staff_pick,0.48136340620070994,0.05217811362392886
ttrpg_accessory,country_us,0.022785359955991038,0.03766654822510028
ttrpg_accessory,creator_prior_funded,0.0034007615289994263,0.0027476255044967977
ttrpg_accessory,creator_is_repeat,0.14096515000449314,0.02595050054808876
ttrpg_accessory,is_dnd5e,-0.048434125830900177,0.033944309304512206
ttrpg_accessory,blurb_words,-0.0037488740000901923,0.003347000624918786
ttrpg_accessory,title_words,0.00553200522746758,0.0048701763342741166
ttrpg_accessory,is_osr,-0.11606960282489606,0.07103641764189146
ttrpg_accessory,is_zine,-0.1923611276541238,0.08400265030578248
ttrpg_accessory,is_pbta,-0.2912381105236954,0.16476908582285407
