term,coef,se,p_value,odds_ratio
log10_goal,-0.9756953828635957,0.16100898647676348,1.3622184518933507e-9,0.3769301516401376
duration_days,-0.0018883302080177967,0.011838062724677577,0.8732643636555001,0.9981134515657673
country_us,0.18119535235856582,0.21719088754375904,0.40413012261301035,1.1986493153937907
title_words,0.05125778959901434,0.03298167091923165,0.12015351628773262,1.052594206149212
is_dnd5e,0.4541018521908106,0.23798796644175435,0.05637991440128788,1.5747583818983215
is_osr,0.22707184454812573,0.8872942041100393,0.7980165168906317,1.254920023863683
