bucket,dollars,n,share of dollars,share of projects
TTRPG (core),212168515.60635608,5089,0.1749229381198089,0.20347047299188356
TTRPG accessory,37005013.744550794,2461,0.030508889176424154,0.09839670544960218
Other tabletop,731182458.8485296,11067,0.6028254646450448,0.4424853064651553
Video games,124462875.04375969,2241,0.10261377248774446,0.08960057574667146
Playing cards,56436287.880152255,2955,0.046529058585145944,0.11814801487345568
Other games,51670482.79801174,1198,0.042599876985831585,0.047898924473231776
