bucket,tiers,backers,revenue,backer_share,dollar_share
<$10,171,17815,57403.06,0.02182943266756525,8.324205523714503e-4
$10-25,282,92759,1673189.49,0.11366131601519422,0.02426346817552767
$25-50,530,201994,7311287.59,0.24751133439529469,0.10602337321763561
$50-100,779,277085,19397195.56,0.3395233427276069,0.2812850785744217
$100-250,894,188550,26339508.95,0.23103786300698445,0.3819578362085882
$250-500,361,33494,10827263.09,0.041041539027080014,0.15700968418841812
$500-1k,162,3560,2088704.27,0.0043622105134174735,0.030288983935246778
$1k+,103,843,1264653.57,0.0010329616468570028,0.018339155147790494
