goal_bucket,n,success_rate
<$500,670,0.8761194029850746
$500-1k,780,0.8371794871794872
$1-2k,1180,0.7923728813559322
$2-5k,2133,0.7351148616971401
$5-10k,2459,0.6543310288735258
$10-25k,2952,0.5792682926829268
$25-100k,1456,0.5206043956043956
$100k+,114,0.40350877192982454
