band,projects,med_tiers,med_top_price,med_moneymax,med_top_tier_share,sh_100_500,sh_under25
<$50k,292,8,250,50,0.05690816485655292,0.1967491533447607,0.14883514842715745
$50-100k,124,8,300,60,0.03480154401880641,0.2877685074305188,0.0958685662840061
$100-250k,95,10,330,78,0.03737200089692802,0.35036950921211857,0.05637534708005069
$250k+,49,8,350,120,0.035742128892887505,0.557082884930722,0.020229379003772873
