id,name,pledged,tier_rev,rev_cov
505885200,Mutant: Mechatron - Rise of the Robots Roleplaying,132355.02359646,106225.2,0.8025777723698062
515294080,"Eclipse Phase, Second Edition RPG",187307,182185,0.9726545190516105
515360362,Nightmare Over Ragged Hollow,76434.02966517,54432.75,0.7121533463360534
518211075,John Carter of Mars - The Roleplaying Game,309229.0946625032,182940.13,0.5916006390008783
518795559,How to Write Adventure Modules That Don't Suck,125456.75,106684,0.8503647671408673
518899010,Sunken Isles | 5e Adventure Campaign & Rules Supplement,506465,355480,0.7018846317119642
522276836,THE SECRET WORLD PRINT EDITION FOR SAVAGE WORLDS,80055,66925,0.835987758416089
544551332,Ultimate Bestiary: The Dreaded Accursed for 5th Edition!,170073,167694,0.9860118890123653
549300341,7th Sea 3rd Edition,456452.36060112,353109.79000000004,0.7735961525863858
555279400,Surviving Strangehollow: Hand-painted 5E by a Legendary Team,116299,77530,0.6666437372634331
557160512,Into the Odd Remastered,153427.776757509,115495.13,0.7527654538235201
565452076,Shinobigami - Modern Ninja Battle Tabletop RPG from Japan,87868,75713,0.8616675012518779
584013973,Bitter Chalice: a map-based Soulslike TTRPG,78168.4678242,69694.89,0.8915985171507138
591415993,"Judges Guild Deluxe: Dark Tower, Caverns of Thracia, & More",84612,63488,0.7503427409823665
604514297,Dungeons of Drakkenheim: Daggerheart,509325,425200,0.8348304128012566
625447476,Monster Hunter International RPG: Savage Worlds Edition,122985,102223,0.8311826645525877
626598507,Monarchies of Mau Fantasy Tabletop RPG,118534,84370,0.7117788988813336
630656171,Monsters of Drakkenheim - 5E Monsters with Lore Lairs & Loot,1065710,637630,0.59831473853112
637189433,Fall of Magic – a role playing game of profound fantasy,75136.66,60960,0.8113216637524212
646409113,Spectacular Settlements for 5th Edition!,102670.26,100989,0.9836246640458494
646523073,Shadowdark RPG: The Western Reaches Setting,3148567,1981599,0.6293653589077189
647740666,Tome of Beasts: 400+ New Monsters for 5th Edition,191431,175117,0.9147786931061322
649486549,Grim Hollow: Transformed,1040544,837575,0.8049395316296091
666763798,Adventures & Academia: First Class,110235.11838535,92376.90000000001,0.8379988278969064
670172781,Zairoo: The Pan-African Fantasy Role Playing Game,112376,62050,0.5521641631665124
674821442,Odyssey of the Dragonlords: 5th Edition Adventure Book,456332,298502,0.6541333941077987
680310506,Apocalypse World 2nd Edition,149681,119298,0.7970149852018626
694793420,City of Brass: Epic Adventure for 5e and Swords and Wizardry,70247,67375,0.9591156917733141
700637793,Things from the Flood - Sequel to Tales from the Loop RPG,469933.06672403,364973.51999999996,0.7766500079347088
706682640,Desolation of Time: A Grim Adventure and Grimoire for 5E+,70188,50517,0.7197384168233886
718450083,Fantasy World Creator + APP: Modular tiles for TABLETOP RPG,91662.420355,87787.26999999999,0.9577236741077542
727221028,Monsters & More! A Nimble TTRPG Reprint & Expansion,1105407,604598,0.5469460569726806
739088516,The Deck of Stories and NPC Cards,171484.89,170384,0.9935802507148005
740073300,GHOST IN THE SHELL ARISE - Tabletop Roleplaying Game,513582.89581016,461063.19000000006,0.8977386002559298
742525199,Western - the Roleplaying Game,86446.3089477,72777.09,0.8418761990639776
759188489,Dolmenwood Tabletop RPG,1389313.29,1181030,0.8500818415117875
764242494,Dusk City Outlaws,154155,96985,0.629139502448834
770262509,Book of Spirits: An Ethereal Supplement for 5E,224142,145115,0.6474244006031891
804672688,Carbon 2185 | A Cyberpunk RPG | Terminal Overdrive,237073.68177986,121205.56,0.5112569184821961
810800705,Fantasy World Creator,159082.5055305066,145377.52,0.9138498260081875
816378530,Windheim Falling,70286.8075938,57576.55,0.8191658146254864
819291103,Fateforge: a 5th Edition Roleplaying Game,125877,89560,0.7114881987972386
825778086,Diceborn Heroes: A Co-op Dice Adventure Game,109022.65193262,86541.75,0.793796045738146
840121834,Ghost Hunters for World of Darkness 20th Anniversary,72816,42360,0.5817402768622281
853120791,A Touch More Class: 9 New 5th Edition Classes,119041.83086341,87724.59,0.736922385717137
857268609,Before All Others,146249,91716,0.6271222367332426
878356662,Level Up: Advanced 5th Edition,949949.98933716,618758.89,0.6513594367549255
885428476,DarkSpace - Sci-Fi Rules for Shadowdark,102514,70461,0.6873305109546013
888721245,"Stalingrad: Inferno on the Volga. WW2 solo, 2, 3 player game",74291.97998721,55362.259999999995,0.7451983378223475
906155904,"Brancalonia 5E: Complete Knave, Grand Theft Market & Saints",234262.67853198,175612.97999999998,0.7496413047971978
911432658,Shield Maidens: A New Viking/Cyberpunk Tabletop RPG,77292.407997225,47255.579999999994,0.6113870847664183
914370670,Ghoul Island,72008.79,61675,0.8564926587434674
937868037,Secret Dragons: Epic New Playable Dragons for 5E and PF2,221827,153966,0.6940814238122501
938049399,Enthralling Adventures and Incredible World for 5th Edition!,134180,98329,0.7328141302727679
952889261,BRANCALONIA - THE SPAGHETTI FANTASY RPG,206909.97637074,160375.76,0.7750992137403743
953664408,Traveller RPG: The Deepnight Revelation Campaign Box Set,143684.0043092619,89262.39,0.6212409685344922
959873660,Dice Bites:Collection of Molds for RPG-Dice Treats & Crafts.,175312,101733,0.5802968422013325
959884646,Delta Green: The Labyrinth,156293,82798,0.5297614096600616
966991044,Project: Dark,75045.13,68359,0.9109052113041846
980688609,Rise of the Drow: Collector's Edition for D&D 5E or PFRPG,212825.01,149836,0.7040337975315965
981504825,Lunars: Fangs at the Gate for Exalted 3rd Ed.,288526,241910,0.8384339712885494
982134036,Blackstorm Realms: A 5th Edition Setting,111128,66895,0.6019635015477648
991176262,Cairo:Otherscape & Neuro:Otherscape - Mythic Cyberpunk RPG,303202,264458,0.8722172017334978
1007506307,Temeraire: The Roleplaying Game,523096,326063,0.6233330019728692
1008570694,Lone Wolf—Adventures in Magnamund,147528.88533978,98654.90000000001,0.6687158231608932
1013378690,AFFINITY: Three sci-fi/fantasy campaign settings for 5E,84982.3217324151,72817.3,0.8568523254669452
1021205843,A Touch of Class: 7 New Classes for 5th Edition,84925.10693888,74873.9,0.8816462257019732
1026598212,Numenera: Into the Ninth World,417560,253980,0.6082479164670945
1035728884,ZWEIHANDER RPG Reforged Edition,166813,138142,0.8281249063322403
1046146938,Adventures Await!,74887.66,63475,0.8476029295080124
1050139758,KULT: Divinity Lost - Horror Roleplaying Game (RPG),323530.9703830025,1352095,4.179182593862228
1065283803,Rifts® for Savage Worlds: American Armageddon,230387.82,224393,0.9739794404061811
1085110982,"The Strange, a Tabletop RPG by Bruce Cordell & Monte Cook",418478.42,384265,0.9182432871926826
1095031740,Dragonflight,108683,107421,0.9883882483921128
1118963986,Jiangshi: Blood in the Banquet Hall,100688,82125,0.815638407754648
1138306119,"Dungeon Fantasy Roleplaying Game, Powered by GURPS",176450,160067,0.9071521677529045
1142235214,Arcana Note: 5E Leather Journal & Adventure Kit,76002.99,47967,0.6311199072562803
1143220912,Tome of Beasts 2 for 5th Edition: 400 New Monsters,413021,410909,0.9948864585577973
1143933257,Hyper Light Drifter: Tabletop Role-Playing Game,73711.85,72872,0.9886063095689498
1147838793,DCC Lankhmar,187171,137467,0.7344460413205037
1148690238,MONSTROUS,92169,54570,0.592064577026983
1151622238,Earthdawn Magic: Deeper Secrets,71655,31243,0.43601981717954086
1155736102,Gallows Corner - A Peasants' Revolt RPG,116122.13851288,88196.44,0.7595144313521014
1157817746,Treacherous Traps for 5th Edition!,161691,158839,0.9823614177659857
1159585524,Monsters of Murka: Restaurants and Retail,82018,54970,0.6702187324733595
1162408509,The Yellow King Roleplaying Game from Robin D. Laws,213135.78070445,167927.43,0.7878894357623637
1180980210,Historia: Dark Fantasy Renaissance Setting for 5e,112114.447701174,68180.14,0.6081298298121667
1186035417,"Heroes of Normandie, strategic resupply",225081.84631348,84940,0.3773738370783615
1187929391,The Black Hack RPG Second Edition,72383.58112464,57482.659999999996,0.7941394872549681
1191506987,Broken Tales,147060.48860016,112550.53,0.7653349385096327
1192342797,Sigil & Sign — Cthulhu Mythos RPG where you play the cultist,97604.87165156,95300.11,0.9763868174553031
1195567919,Svilland: 5E Norse Setting & Freyja's Tears A Grim Adventure,243242.9153923082,163649.58,0.6727825134642129
1200394135,Cats! The Conspurracy TTRPG,78766.05679068,52552.850000000006,0.6672017381758576
1219341623,Wondrous Expeditions: Forests - Roleplaying Guide,152677.23932877,98082.81,0.6424193313372126
1236349742,Shadows of Esteren - A Medieval Horror RPG: Occultism,129754,77802,0.59961157266828
1237480310,"Kingdoms, Warfare & More Minis!",1372685.18,1291315,0.9407218922550035
1237644644,Shadows of Esteren - A Medieval Horror RPG: Dearg,173684,153828,0.8856774371847723
1241676436,The Dark Eye RPG—English Edition,147512,116778,0.791650848744509
1243605332,Tome of Summoning: The All-In-One 5e Reference System,166202,111540,0.6711110576286687
1245986696,Vault 5e: Uncharted Dungeons,71322.3230832,61448.88,0.8615658792874388
1253306114,ASTRA ARCANUM: The Roleplaying Game,295333,152319,0.5157534037848801
1254009610,🐉 Draconis: The Peaceful Way to Play DND 5E,98685,96805,0.9809494857374474
1265495309,Silver's Monster Girl Manual!,149124,118615,0.7954118719991417
1268826056,Ultimate Bestiary: Secrets of the Fey for 5th Edition!,141240,87516,0.6196261682242991
1269320637,Mythic Carpathia & City of My Nightmares for the Vaesen RPG,551230.85618615,468225.99,0.8494190496510969
1271847410,FIST Paranormal Mercenary RPG Box Set,132189.69,94165,0.7123475363320695
1279559829,Forbidden Lands - Retro Open-World Survival Fantasy RPG,356014.38737774,289328.13999999996,0.8126866504780205
1283994656,Cthulhu Awakens Roleplaying Game,91309,62068,0.6797577456767679
1286599279,Grimslingers: The Northern Territory,150469.04,128146,0.8516436338000162
1287070652,Dragon Town and the Darkness Below: Fantasy TTRPG Adventure,116379,101215,0.8697015784634685
1296808139,Defiant RPG Reign & Legacy,76276.30642584,65819.07,0.8629032144338676
1301485413,Paranoia RPG,349074.9200379564,113659,0.3256005902332983
1303186633,Darkest Doom,393299.767209932,358518.72,0.91156606204812
1305498045,Professor Primula's Portfolio of Palaeontology,369029.3180002,240653.22,0.6521249349621311
1305532954,More Magic items for 5e: The Griffon's Saddlebag | Book One,663131,442765,0.6676885864180683
1308027924,Creed's Codex: Legends of the Psionics (D&D 5E),92712,46190,0.4982095090171715
1313878870,KULT: Divinity Lost - Horror Guide & Scenario Collection,200167.0659226764,166257.76,0.8305949794169666
1320623133,Shadowrun: Anarchy 2.0,286392.1221963,216446.44,0.7557695314385863
1326050971,"Witch+Craft, a 5e Supplemental",161533.6,106390,0.6586245833684138
1327791986,Echoes in the Deep - A Fateforge Tale: Advanced Solo TTRPG,84295.74402522,74454.23,0.8832501671463321
1332155207,The Ultraviolet Grasslands,108793.66,76290,0.7012357153900328
1337844686,"Lex Arcana - Roma the Eternal City, Atlantis and The Fall",198662.71908742,167622.00999999998,0.8437517153192653
1346194019,Old-School Essentials,180871.3266417,130829.25,0.7233277514415999
1352812530,Corpus Malicious - The Codex of Evil for 5E,118642.61541656,117756.78,0.992533581517486
1354627632,Mythological Figures & Maleficent Monsters for D&D,156609.47476564,105573.71,0.6741208356517826
1378803389,Erevan's Guide to Death and Beyond - A 5e Tome,1280716.9038232,902409.1699999999,0.7046125238966748
1381396851,Electric Bastionland RPG,73474.2628718958,50887.770000000004,0.6925931341254025
1383654850,When Society Collapsed: Dam Nation - A Tabletop RPG,817977,538822,0.6587251230780328
