tau,term,coef,p_value,mult_effect
0.1,log10_goal,0.843159500122287,0,6.968824059651711
0.1,duration_days,0.0011215579892871984,0.00902194056640404,1.0025858201879043
0.1,has_video,0.0031945092786151686,0.8067731017505819,1.0073827485385232
0.1,staff_pick,0.17798591261435104,5.240252676230739e-14,1.5065581965569799
0.1,blurb_words,3.130678843552107e-4,0.5727105035481059,1.0007211253295492
0.1,title_words,0.0022325640873454406,0.05105121111874178,1.0051539046952171
0.1,country_us,-0.03781042158046375,4.743531789586086e-9,0.9166205264016843
0.1,class_accessory,0.00919547449437752,0.2846445034886109,1.0213991085861576
0.1,creator_prior_funded,0.0035523212193533005,6.601299240571734e-8,1.0082130655690698
0.1,creator_is_repeat,0.0750243288498392,0,1.1885688083017085
0.1,is_dnd5e,0.016778106472449344,0.0273815690112591,1.039388976452222
0.1,is_osr,0.01677250202580919,0.05847435342240104,1.0393755635199524
0.1,is_pbta,0.061399263332487776,0.19635869504903436,1.151858849706389
0.1,is_zine,-0.052477187531054556,1.7111145833581531e-9,0.8861817714837166
0.5,log10_goal,0.6824296389921233,0,4.81315268733666
0.5,duration_days,0.0069999508245398604,0,1.0162485778001702
0.5,has_video,0.05813714462468543,0.004272855245480489,1.1432392980937136
0.5,staff_pick,0.4326781701425918,0,2.708184013725892
0.5,blurb_words,0.0010840609090751034,0.36809046081601315,1.002499260446546
0.5,title_words,0.006644581721832634,0.0020857363263511175,1.0154173546448988
0.5,country_us,-0.04736035806197208,7.530516797360498e-5,0.8966844572316846
0.5,class_accessory,0.04322006533356004,0.0014669457146125886,1.1046382194570374
0.5,creator_prior_funded,0.004159724886241398,4.243484506250006e-5,1.0096241375117476
0.5,creator_is_repeat,0.16412838553049805,0,1.4592455766667296
0.5,is_dnd5e,0.04516778873629188,4.1386586439795536e-4,1.1096034253507012
0.5,is_osr,0.03320543085904296,0.0773228111529276,1.0794572085287182
0.5,is_pbta,0.022713352386508425,0.43559924252631,1.0536911984740742
0.5,is_zine,-0.14418126509209458,2.220446049250313e-16,0.71749476202393625
0.9,log10_goal,0.594383733087613,0,3.9299202117669174
0.9,duration_days,0.010233277909483661,0,1.0238427938152277
0.9,has_video,0.10903033111389593,6.641630206916105e-6,1.2853764274609447
0.9,staff_pick,0.54135889099477,0,3.4782347605140407
0.9,blurb_words,0.00305541607209214,0.03802563508537071,1.0070601617534838
0.9,title_words,0.0047825420269623315,0.06960469477057618,1.0110730675491637
0.9,country_us,-0.03445191599159727,0.019909622771349555,0.9237364565685793
0.9,class_accessory,0.08643608603288236,5.49194990373536e-6,1.220214231837438
0.9,creator_prior_funded,0.0034055051053212197,3.3232262037996563e-4,1.007872290096446
0.9,creator_is_repeat,0.16637620455010496,0,1.4668179115136053
0.9,is_dnd5e,0.05289112166874345,2.7035924352003526e-4,1.1295127085055001
0.9,is_osr,-0.02039081629402007,0.4521892501683067,0.9541335864298294
0.9,is_pbta,-0.10356527294412501,0.30784938388386807,0.7878340138514189
0.9,is_zine,-0.3127302898621186,0,0.4867093732404168
