id,name,n_tiers,entry_price,top_price,median_price,tier_rev,tier_backers,top_tier_rev_share,hhi_rev,whale_rev_share,money_max_price
1185556512,The ORPHEUS Protocol,12,1,500,90,31352,476,0.06379178361826997,0.21863553818616208,0.15150548609339118,60
1186035417,"Heroes of Normandie, strategic resupply",5,1.06,53.06,38.2,90140.84000000001,1994,0.13538591386545765,0.47936550840640924,0,49.88
1187929391,The Black Hack RPG Second Edition,7,1.34,93.62,16.05,57482.659999999996,1487,0.36156364371446975,0.29279279990455626,0,93.62
1188631987,World of Alessia Campaign Primer for 5e D&D & Starfinder,14,3,600,70,19709,397,0.09132883454259476,0.1212475116888008,0.18773149322644478,80
1190893465,Last Fleet RPG #lastfleetrpg,12,1.33,530.78,36.49,23746.9,778,0.022351549044296305,0.264902789187709,0.022351549044296305,33.17
1191506987,Broken Tales,7,21.67,258.89,60.21,112550.53,1415,0.009200845167055188,0.503154736722792,0.009200845167055188,102.35
1192342797,Sigil & Sign — Cthulhu Mythos RPG where you play the cultist,7,37.23,640.57,88.58,95300.11,832,0.03360804095609124,0.487264232398832,0.04220194499250841,152.76
1195215824,GRADIENT DESCENT: Module for Mothership Sci-Fi Horror RPG,4,1,55,10,30896,1392,0.5714331952356292,0.4759814423779105,0,55
1195567919,Svilland: 5E Norse Setting & Freyja's Tears A Grim Adventure,10,1.28,84.76,40.455,163649.58,2649,0.6992135268541478,0.5102484568426433,0,84.76
1200394135,Cats! The Conspurracy TTRPG,12,25.53,331.88,81.69,52552.850000000006,623,0.012630333083743317,0.17443423710376757,0.25979637640965236,117.43
1204565421,Hack The Planet,8,13.31,96.3,34.45,34096.020000000004,1059,0.2090038661403882,0.2935349409505602,0,31.32
1209677578,Once More Into The Void,6,0.82,61.85,12.37,24105.11,934,0.25401875369994165,0.37460425249599355,0,41.24
1210119689,Limitless Encounters 2 - 100 DnD5e encounters,8,15,100,25,33965,1211,0.18254085087590166,0.17550749813917477,0,15
1211127319,"The Artefact, a solo RPG zine",5,7.92,39.6,19.8,39012.6,2554,0.20301133479952632,0.275370199033936,0,13.2
1216367761,Star Breach Soft Cover Rulebook,4,15,50,32.5,15240,458,0.016404199475065617,0.723697954340353,0,40
1219341623,Wondrous Expeditions: Forests - Roleplaying Guide,14,2.36,188.72,58.975,98082.81,2047,0.12314165958336634,0.10279175824599646,0,64.87
1235953202,Castles & Crusades Codex Egyptium,9,15,200,50,22550,368,0.15964523281596452,0.20760527234379378,0,100
1236349742,Shadows of Esteren - A Medieval Horror RPG: Occultism,18,20,400,122.5,77802,749,0.03084753605305776,0.12134238304085819,0.2508932932315365,99
1237480310,"Kingdoms, Warfare & More Minis!",8,25,1000,92.5,1291315,17239,0.205991566736234,0.186843352735999,0.32308150993367224,40
1237644644,Shadows of Esteren - A Medieval Horror RPG: Dearg,17,25,1000,200,153828,1129,0.07800920508620017,0.1513435946585312,0.23041968952336375,199
1241676436,The Dark Eye RPG—English Edition,7,20,299,199,116778,1592,0.025604137765675043,0.2554540284955766,0.025604137765675043,125
1243605332,Tome of Summoning: The All-In-One 5e Reference System,8,1,199,87,111540,1077,0.26761699838622915,0.2381842893317218,0,149
1245986696,Vault 5e: Uncharted Dungeons,5,30.17,985.08,155.48,61448.88,860,0,0.3497093187935545,0.25956632570032195,63.82
1246106858,Ultimate NPCs: Warfare for 5th Edition,8,1,500,57.5,38052,1108,0,0.26219932360536047,0,70
1248438217,A Mystery Adventure Inspired by Edgar Allan Poe for 5e,7,1.29,219.37,19.36,28851.33,1450,0.3345523412612174,0.33047424677784404,0,19.36
1253306114,ASTRA ARCANUM: The Roleplaying Game,7,3,239,59,152319,1491,0.19456535297631944,0.2592493553515313,0,200
1254009610,🐉 Draconis: The Peaceful Way to Play DND 5E,6,10,180,65,96805,1162,0.5596818346159805,0.3715944215206982,0,180
1263858311,Mythic Mania 2: Two New Mythic Rulebooks for Pathfinder RPG,15,30,500,60,17560,169,0.02847380410022779,0.2778342785685006,0.36161731207289294,100
1265495309,Silver's Monster Girl Manual!,5,1,275,50,118615,2194,0.16692661130548414,0.3161179120616264,0.16692661130548414,50
1268826056,Ultimate Bestiary: Secrets of the Fey for 5th Edition!,19,20,450,50,87516,1621,0,0.2077730113800157,0.006855889208830386,120
1269320637,Mythic Carpathia & City of My Nightmares for the Vaesen RPG,12,28,507.16,74.975,468225.99,5652,0.01083152176153229,0.274265834016179,0.04356281034292864,84.37
1271847410,FIST Paranormal Mercenary RPG Box Set,6,20,200,52.5,94165,1187,0.10832050124780969,0.4268720160109444,0,100
1273865828,Shadow of the Demon Lord Freeport Companion,4,10,80,40,27270,657,0.005867253392005867,0.6041502695679665,0,50
1277151544,RPG Sounds,13,21.17,277.5,56.44,61437.649999999994,1040,0.013550322969709943,0.1800970129656141,0.013550322969709943,51.74
1278437912,HC SVNT DRACONES 2.0: Mastered,9,5,1000,150,25870,229,0.11596443757247778,0.18682250418337112,0.5566293003478933,500
1279559829,Forbidden Lands - Retro Open-World Survival Fantasy RPG,6,1.26,377.63,66.08500000000001,289328.13999999996,3386,0.05612343825249767,0.4515025747168508,0.05612343825249767,88.11
1283994656,Cthulhu Awakens Roleplaying Game,8,1,175,57.5,62068,1067,0.09022362570084423,0.26749178625812997,0,60
1284935442,"BFF! – The rpg of girlhood, friendship, and adventure!",6,20,450,70,23630,452,0.05713076597545493,0.3206005656752634,0.05713076597545493,50
1286599279,Grimslingers: The Northern Territory,7,10,150,50,128146,2397,0.11705398529801944,0.2743115838023732,0,50
1286813510,BroadSword Monthly Extra Attack,11,25,2000,95,25943,398,0,0.2211873813023347,0,155
