model,term,coef,se,p
success (LPM),ttrpg,0.10272333172374182,0.030393519410677985,7.28224921654888e-4
success (LPM),ttrpg:post2014,0.035629678927854846,0.03322611145689234,0.2835934060440607
log10 pledged|funded,ttrpg,-0.026208076222398624,0.03287734153302719,0.4253946494232784
log10 pledged|funded,ttrpg:post2014,0.061648364164381686,0.03720672712620456,0.09758487734020765
