term,coef,se,p,mult
(Intercept),4.521245339130639,0.07047572339191739,1.635902810464492e-15,91.95003568399129
rpg,-1.1874236366491513,0.07938083345823237,1.1733241237924278e-8,0.3050060591064842
feb,-0.020737171341679073,0.07434865488372906,0.7854818091504487,0.9794763652007693
post,-0.6824793082205098,0.5045182948066291,0.20329135254095523,0.5053624884852755
rpg:feb,0.02301684945849658,0.06548671206147416,0.7318730528020958,1.023283781179562
rpg:post,0.7096200862119209,0.14309131334261085,4.293229447936877e-4,2.033218664091713
feb:post,1.1469850420293728,0.4970405045830558,0.04147143268270744,3.1486854303311484
rpg:feb:post,0.6887029073106987,0.11666342186590326,1.0262059793720892e-4,1.991131175838252
