model,term,est,se,p
log10_pledged,n_tiers,0.00391391413720565,0.0028621462125611023,0.17194258057132253
log10_pledged,l_entry,0.09510921578604123,0.02211774880198641,1.965272160618329e-5
log10_pledged,l_top,-0.025162995297916737,0.031962614033900445,0.4314107484126807
log10_pledged,whale_rev_share,0.3938613183226518,0.10351560139529244,1.550952318018971e-4
log10_pledged,log10_goal,0.35436700802057697,0.029869473866160443,1.4645523005250287e-29
log10_pledged,staff_pick,0.2574013086564304,0.030896360434439732,4.646749236639077e-16
log10_pledged,is_dnd5e,0.06636977145054551,0.027432807539905336,0.015817647289851234
log10_pledged,is_osr,0.060248231933303115,0.05924477504522265,0.30955637516009504
log10_pledged,is_zine,-0.04025296082381293,0.093196432734041,0.6659442863327675
log10_avg_pledge,l_top,0.1709003966913173,0.023026089542486576,3.566803270742713e-13
log10_avg_pledge,has_whale,-0.0926964082072356,0.022199808127726484,3.371636289113515e-5
log10_avg_pledge,n_tiers,0.0032204783310585097,0.0015699318549263225,0.040627128796235916
log10_avg_pledge,log10_goal,0.1665514295174016,0.016361642777865344,1.0511374610766462e-22
log10_avg_pledge,staff_pick,0.01167613417309902,0.01687067813327624,0.48912025262424086
log10_avg_pledge,is_dnd5e,-0.01667509979703751,0.014962029381017811,0.26547276579394036
log10_avg_pledge,is_osr,0.006045586356596281,0.03260711408911375,0.852966801554406
log10_avg_pledge,is_zine,-0.16040962074501314,0.051381267375538345,0.0018750808796740247
