term,coef,se,p_value,driver
log10_goal:class_acc,0.19125233293987026,0.17985067256050538,0.28760279124898064,log10_goal
duration_days:class_acc,-0.026359236461167623,0.012100126576010402,0.029374298298265617,duration_days
country_us:class_acc,-0.33356791220620396,0.24345545259821905,0.17064338506677967,country_us
title_words:class_acc,-0.04661469772383281,0.04262090087531431,0.2740843257809384,title_words
