term,coef,se,p_value,driver,diff_mult
log10_goal:class_accessory,-0.09300777698361576,0.027446658094187608,7.088420232358602e-4,log10_goal,0.8072205750861388
duration_days:class_accessory,0.006743470229096533,0.0021883165300547666,0.0020725234601819313,duration_days,1.0156485906920862
has_video:class_accessory,0.025499362971623044,0.040980327874649086,0.5338219515260324,has_video,1.060472382857528
staff_pick:class_accessory,0.06548277270582135,0.053652649990915895,0.22234657367090885,staff_pick,1.1627404273026865
country_us:class_accessory,0.10527310187421807,0.04062044195075966,0.00958566344784878,country_us,1.2743041629317369
creator_prior_funded:class_accessory,-0.0028797629173918865,0.0035988469006264885,0.4236461438643194,creator_prior_funded,0.9933910367352304
creator_is_repeat:class_accessory,-0.007617334137230602,0.029250598297039354,0.7945555156645963,creator_is_repeat,0.9826133626793697
is_dnd5e:class_accessory,-0.13830669161725018,0.03829077600892043,3.0741827502381725e-4,is_dnd5e,0.7272660398411681
