term,coef,se,p_value,odds_ratio
log10_goal,-0.7911175396728001,0.03734866342175284,1.4010942369157658e-99,0.4533378890150221
duration_days,-0.03392601744913303,0.0023273420342826796,3.925574833516629e-48,0.9666430167083051
country_us,0.20243953355469713,0.05090194679118562,6.977580846159978e-5,1.224386048611537
title_words,0.04320479757976676,0.007607415856956959,1.3524701413074583e-8,1.0441517126988464
is_ttrpg,0.4859018976522712,0.08707427709392299,2.400833391834162e-8,1.625640509237927
is_ttrpg_accessory,0.4454543056546929,0.2766757812625422,0.10739288712483909,1.5611992964147323
is_dnd5e,0.5956899500210597,0.21208570682740308,0.004973846024331294,1.814282277327571
is_osr,0.9493002862650249,0.8158506647952749,0.24459785362782768,2.5839010355857894
