term,coef,se,year,lo,hi
launch_year::2010:ttrpg,0.1918367346938775,0.23023793028180334,2010,-0.259429608658457,0.643103078046212
launch_year::2011:ttrpg,0.00499999999999989,0.13000095464341693,2011,-0.2498018711010973,0.2598018711010971
launch_year::2012:ttrpg,0.13523287671232914,0.058532677000527056,2012,0.020508829791296118,0.24995692363336217
launch_year::2014:ttrpg,0.15830325277863017,0.033770769114912294,2014,0.09211254531340207,0.22449396024385826
launch_year::2015:ttrpg,0.19034465750046436,0.030130013996961247,2015,0.1312898300664203,0.24939948493450842
launch_year::2016:ttrpg,0.17039532996755266,0.026369590133895005,2016,0.11871093330511845,0.22207972662998687
launch_year::2017:ttrpg,0.19354304239529935,0.021626196421193324,2017,0.15115569740976043,0.23593038738083827
