class,n_terminal,success_rate,median_goal_usd,median_pledged_usd,mean_pledged_usd,median_pledged_if_funded,median_backers_if_funded,median_avg_pledge_if_funded,median_pct_of_goal_if_funded,share_overfunded_2x,pledged_p10,pledged_p25,pledged_p50,pledged_p75,pledged_p90,pledged_p99
ttrpg,7520,0.975531914893617,1400.0,5770.0,40280.17974864615,6020.74950084,224.0,31.196889271422812,4.235583076923077,0.7509541984732825,831.0,2050.25,5770.0,18795.7763788425,68320.67072156983,552602.3026753677
ttrpg_accessory,3226,0.981401115933044,300.0,2544.4460559978997,18178.410139094933,2650.0233786,98.0,29.656940263904655,7.4445,0.8834491471888819,332.06004236,882.78900155,2544.4460559978997,7654.0307459450005,22866.963475045,225939.0325
