feature,importance
csuccess_rate,0.0355781246306319
log10_goal,0.028145273234513213
log1p_prior_funded,0.02127490014067449
duration_days,0.016373050304793288
creator_known,0.010335956174758472
has_prior,0.00818054567101256
log1p_prior_failed,0.001238223156611728
