grp,launch_year,product_type,n,share
Other-system books,2017,gm_tools,16,0.051118210862619806
Other-system books,2017,other,20,0.06389776357827476
Other-system books,2018,rulebook,129,0.35537190082644626
Other-system books,2018,setting,47,0.12947658402203857
Other-system books,2018,adventure,100,0.27548209366391185
Other-system books,2018,supplement,21,0.05785123966942149
Other-system books,2018,bestiary,26,0.07162534435261708
Other-system books,2018,gm_tools,13,0.03581267217630854
Other-system books,2018,zine,3,0.008264462809917356
Other-system books,2018,other,24,0.06611570247933884
Other-system books,2019,rulebook,137,0.28482328482328484
Other-system books,2019,setting,59,0.12266112266112267
Other-system books,2019,adventure,120,0.2494802494802495
Other-system books,2019,supplement,19,0.0395010395010395
Other-system books,2019,bestiary,33,0.06860706860706861
Other-system books,2019,gm_tools,26,0.05405405405405406
Other-system books,2019,zine,63,0.13097713097713098
Other-system books,2019,other,24,0.0498960498960499
Other-system books,2020,rulebook,152,0.2695035460992908
Other-system books,2020,setting,46,0.08156028368794327
Other-system books,2020,adventure,117,0.2074468085106383
Other-system books,2020,supplement,28,0.04964539007092199
Other-system books,2020,bestiary,27,0.047872340425531915
Other-system books,2020,gm_tools,18,0.031914893617021274
Other-system books,2020,zine,148,0.2624113475177305
Other-system books,2020,other,28,0.04964539007092199
Other-system books,2021,rulebook,144,0.254416961130742
Other-system books,2021,setting,48,0.08480565371024736
Other-system books,2021,adventure,93,0.16431095406360424
Other-system books,2021,supplement,22,0.038869257950530034
Other-system books,2021,bestiary,19,0.03356890459363958
Other-system books,2021,gm_tools,14,0.024734982332155476
Other-system books,2021,zine,206,0.36395759717314485
Other-system books,2021,other,20,0.0353356890459364
Other-system books,2022,rulebook,65,0.2529182879377432
Other-system books,2022,setting,24,0.0933852140077821
Other-system books,2022,adventure,76,0.29571984435797666
Other-system books,2022,supplement,10,0.038910505836575876
Other-system books,2022,bestiary,21,0.08171206225680934
Other-system books,2022,gm_tools,10,0.038910505836575876
Other-system books,2022,zine,34,0.13229571984435798
Other-system books,2022,other,17,0.06614785992217899
Other-system books,2023,rulebook,57,0.3202247191011236
Other-system books,2023,setting,18,0.10112359550561797
Other-system books,2023,adventure,43,0.24157303370786518
Other-system books,2023,supplement,8,0.0449438202247191
Other-system books,2023,bestiary,17,0.09550561797752809
Other-system books,2023,gm_tools,11,0.06179775280898876
Other-system books,2023,zine,7,0.03932584269662921
Other-system books,2023,other,17,0.09550561797752809
Other-system books,2024,rulebook,215,0.3067047075606277
Other-system books,2024,setting,71,0.10128388017118402
Other-system books,2024,adventure,183,0.26105563480741795
Other-system books,2024,supplement,43,0.06134094151212553
Other-system books,2024,bestiary,48,0.06847360912981455
Other-system books,2024,gm_tools,39,0.05563480741797432
Other-system books,2024,zine,69,0.09843081312410841
Other-system books,2024,other,33,0.047075606276747506
Other-system books,2025,rulebook,181,0.2924071082390953
Other-system books,2025,setting,63,0.10177705977382875
Other-system books,2025,adventure,167,0.26978998384491115
Other-system books,2025,supplement,28,0.045234248788368334
Other-system books,2025,bestiary,41,0.06623586429725363
Other-system books,2025,gm_tools,28,0.045234248788368334
Other-system books,2025,zine,70,0.11308562197092084
Other-system books,2025,other,41,0.06623586429725363
Other-system books,2026,rulebook,77,0.29844961240310075
Other-system books,2026,setting,19,0.07364341085271318
Other-system books,2026,adventure,73,0.28294573643410853
Other-system books,2026,supplement,14,0.05426356589147287
Other-system books,2026,bestiary,20,0.07751937984496124
Other-system books,2026,gm_tools,15,0.05813953488372093
Other-system books,2026,zine,31,0.12015503875968993
Other-system books,2026,other,9,0.03488372093023256
