launch_year,bucket,dollars_musd,n
2014,TTRPG (core),6.446550760375651,235
2014,TTRPG accessory,0.564170807500885,27
2014,Other tabletop,42.268461825681044,957
2014,Video games,20.587874112932262,420
2014,Playing cards,2.5090213547899145,144
2014,Other games,3.3184249311058025,167
2015,TTRPG (core),9.742579784189504,269
2015,TTRPG accessory,0.7852388079244311,28
2015,Other tabletop,74.76860819183042,1106
2015,Video games,40.860175005767346,370
2015,Playing cards,3.7830421657410103,260
2015,Other games,3.0588639570135228,190
2016,TTRPG (core),10.21095176607965,310
2016,TTRPG accessory,4.753843471244128,52
2016,Other tabletop,98.21973642642307,1334
2016,Video games,16.388324839152173,387
2016,Playing cards,3.801360384998165,255
2016,Other games,2.3367275713405418,142
2017,TTRPG (core),13.071103711549176,434
2017,TTRPG accessory,5.4916852261726605,79
2017,Other tabletop,106.2600821207249,1570
2017,Video games,17.065542794582665,353
2017,Playing cards,4.3634617109746126,318
2017,Other games,3.2408035743915544,162
2018,TTRPG (core),17.697196747426084,522
2018,TTRPG accessory,3.9989321225085814,106
2018,Other tabletop,143.89112418554666,1719
2018,Video games,15.714821618816703,351
2018,Playing cards,5.968130458371278,406
2018,Other games,4.697712729304529,195
2019,TTRPG (core),25.872082860555583,716
2019,TTRPG accessory,10.842271285084278,141
2019,Other tabletop,141.8036273600834,1864
2019,Video games,16.387204363566845,382
2019,Playing cards,6.677422863974352,412
2019,Other games,9.168813406912662,240
2020,TTRPG (core),38.02760317395916,844
2020,TTRPG accessory,7.349866051889712,219
2020,Other tabletop,190.248026683209,2123
2020,Video games,23.383186619069168,412
2020,Playing cards,10.327692905499145,520
2020,Other games,16.426226296010686,321
2021,TTRPG (core),41.38864351762437,839
2021,TTRPG accessory,6.043565630859216,202
2021,Other tabletop,137.23996058141472,1457
2021,Video games,21.824244262526925,421
2021,Playing cards,15.513660274234098,578
2021,Other games,7.377563625616911,233
2022,TTRPG (core),27.096413348549213,409
2022,TTRPG accessory,4.4233220870418855,195
2022,Other tabletop,70.94559196087405,877
2022,Video games,20.35727604063851,413
2022,Playing cards,14.455853191294468,583
2022,Other games,6.840239247906759,188
2023,TTRPG (core),12.638755707294353,303
2023,TTRPG accessory,2.1581717719104074,245
2023,Other tabletop,28.892662784496224,727
2023,Video games,23.084919669875305,412
2023,Playing cards,11.487692025177926,641
2023,Other games,7.4612521512934125,177
2024,TTRPG (core),56.61345712941632,1229
2024,TTRPG accessory,6.21282194643067,895
2024,Other tabletop,130.06169396409547,2558
2024,Video games,23.89980671233027,440
2024,Playing cards,11.304558251979259,677
2024,Other games,6.7642246732496405,177
2025,TTRPG (core),35.61770968693849,1071
2025,TTRPG accessory,5.3645356021607,729
2025,Other tabletop,82.57763900913774,2301
2025,Video games,25.884663769508588,447
2025,Playing cards,9.103052915909071,601
2025,Other games,9.57330632226185,169
2026,TTRPG (core),14.64901923786217,390
2026,TTRPG accessory,1.19195322812622,275
2026,Other tabletop,49.251511250589196,764
2026,Video games,13.0837693167579,139
2026,Playing cards,3.50990066855633,167
2026,Other games,2.3603484739600002,58
