launch_year,n,moneymax_med_real
2015,10,91.68604994578448
2016,11,118.21670447111958
2017,33,88.85217016155353
2018,32,90.72744445594907
2019,40,98.90362172754901
2020,42,105.58485473955899
2021,30,106.12225988116765
2022,17,144.29708465599424
2023,12,121.2165022710714
2024,42,102.11811220667605
2025,38,127.475
